file_a,file_b,cochange_count
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/modules/usage/how-to/cli-mode.md,24
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/modules/usage/how-to/headless-mode.md,24
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,pyproject.toml,24
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/modules/usage/installation.mdx,24
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,pyproject.toml,24
evaluation/gpqa/run_infer.py,evaluation/toolqa/run_infer.py,24
evaluation/EDA/run_infer.py,evaluation/toolqa/run_infer.py,24
evaluation/EDA/run_infer.py,evaluation/bird/run_infer.py,24
evaluation/EDA/run_infer.py,evaluation/gaia/run_infer.py,24
evaluation/EDA/run_infer.py,evaluation/humanevalfix/run_infer.py,24
evaluation/bird/run_infer.py,evaluation/gaia/run_infer.py,24
evaluation/gaia/run_infer.py,evaluation/logic_reasoning/run_infer.py,24
evaluation/humanevalfix/run_infer.py,evaluation/logic_reasoning/run_infer.py,24
tests/integration/mock/CodeActAgent/test_edits/prompt_001.log,tests/integration/mock/CodeActAgent/test_edits/prompt_002.log,24
tests/integration/mock/CodeActAgent/test_edits/prompt_001.log,tests/integration/mock/CodeActAgent/test_edits/prompt_003.log,24
tests/integration/mock/CodeActAgent/test_edits/prompt_002.log,tests/integration/mock/CodeActAgent/test_ipython/prompt_002.log,24
tests/integration/mock/CodeActAgent/test_edits/prompt_003.log,tests/integration/mock/CodeActAgent/test_ipython/prompt_002.log,24
openhands/app_server/sandbox/sandbox_spec_service.py,poetry.lock,23
frontend/src/hooks/query/use-settings.ts,frontend/src/services/settings.ts,23
docs/usage/how-to/cli-mode.mdx,docs/usage/how-to/headless-mode.mdx,23
README.md,README_CN.md,23
openhands/integrations/gitlab/gitlab_service.py,openhands/integrations/service_types.py,23
openhands/controller/agent_controller.py,openhands/server/session/agent_session.py,23
Development.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,23
Development.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,23
Development.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,23
Development.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,23
containers/dev/compose.yml,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,23
containers/dev/compose.yml,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,23
containers/dev/compose.yml,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,23
containers/dev/compose.yml,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,23
containers/dev/compose.yml,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,23
containers/dev/compose.yml,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/modules/usage/installation.mdx,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,frontend/package-lock.json,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,frontend/package.json,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,pyproject.toml,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/modules/usage/installation.mdx,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,frontend/package-lock.json,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,frontend/package.json,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,pyproject.toml,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/modules/usage/how-to/cli-mode.md,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/modules/usage/how-to/headless-mode.md,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,frontend/package-lock.json,23
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,frontend/package.json,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/modules/usage/installation.mdx,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,frontend/package-lock.json,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,frontend/package.json,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,pyproject.toml,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/modules/usage/installation.mdx,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,frontend/package-lock.json,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,frontend/package.json,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/modules/usage/how-to/cli-mode.md,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/modules/usage/how-to/headless-mode.md,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,frontend/package-lock.json,23
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,frontend/package.json,23
evaluation/biocoder/run_infer.py,evaluation/swe_bench/run_infer.py,23
evaluation/bird/run_infer.py,evaluation/gpqa/run_infer.py,23
evaluation/bird/run_infer.py,evaluation/swe_bench/run_infer.py,23
evaluation/bird/run_infer.py,evaluation/toolqa/run_infer.py,23
evaluation/gorilla/run_infer.py,evaluation/toolqa/run_infer.py,23
evaluation/gpqa/run_infer.py,evaluation/humanevalfix/run_infer.py,23
evaluation/humanevalfix/run_infer.py,evaluation/mint/run_infer.py,23
evaluation/humanevalfix/run_infer.py,evaluation/swe_bench/run_infer.py,23
evaluation/humanevalfix/run_infer.py,evaluation/toolqa/run_infer.py,23
evaluation/EDA/run_infer.py,evaluation/gpqa/run_infer.py,23
evaluation/agent_bench/run_infer.py,evaluation/webarena/run_infer.py,23
tests/integration/mock/CodeActAgent/test_edits/prompt_001.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_001.log,23
tests/integration/mock/CodeActAgent/test_edits/prompt_001.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_002.log,23
tests/integration/mock/CodeActAgent/test_edits/prompt_002.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_001.log,23
tests/integration/mock/CodeActAgent/test_edits/prompt_003.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_001.log,23
tests/integration/mock/CodeActAgent/test_ipython/prompt_001.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_001.log,23
tests/integration/mock/CodeActAgent/test_ipython/prompt_001.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_002.log,23
tests/integration/mock/CodeActAgent/test_ipython/prompt_002.log,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_001.log,23
enterprise/poetry.lock,openhands/app_server/sandbox/sandbox_spec_service.py,22
openhands/app_server/sandbox/sandbox_spec_service.py,pyproject.toml,22
Development.md,openhands/runtime/impl/kubernetes/README.md,22
docker-compose.yml,openhands/runtime/impl/kubernetes/README.md,22
openhands/runtime/impl/kubernetes/README.md,pyproject.toml,22
frontend/src/hooks/query/use-settings.ts,frontend/src/mocks/handlers.ts,22
frontend/src/services/settings.ts,frontend/src/types/settings.ts,22
frontend/src/api/open-hands.ts,frontend/src/api/open-hands.types.ts,22
openhands/integrations/github/github_service.py,openhands/integrations/service_types.py,22
openhands/runtime/base.py,openhands/runtime/impl/remote/remote_runtime.py,22
evaluation/biocoder/run_infer.py,evaluation/bird/run_infer.py,22
evaluation/bird/run_infer.py,evaluation/mint/run_infer.py,22
evaluation/gorilla/run_infer.py,evaluation/gpqa/run_infer.py,22
evaluation/mint/run_infer.py,evaluation/swe_bench/run_infer.py,22
evaluation/EDA/run_infer.py,evaluation/gorilla/run_infer.py,22
evaluation/EDA/run_infer.py,evaluation/agent_bench/run_infer.py,22
evaluation/EDA/run_infer.py,evaluation/logic_reasoning/run_infer.py,22
evaluation/EDA/run_infer.py,evaluation/swe_bench/run_infer.py,22
evaluation/agent_bench/run_infer.py,evaluation/bird/run_infer.py,22
evaluation/agent_bench/run_infer.py,evaluation/gaia/run_infer.py,22
evaluation/agent_bench/run_infer.py,evaluation/humanevalfix/run_infer.py,22
evaluation/agent_bench/run_infer.py,evaluation/toolqa/run_infer.py,22
evaluation/bird/run_infer.py,evaluation/logic_reasoning/run_infer.py,22
evaluation/gaia/run_infer.py,evaluation/mint/run_infer.py,22
evaluation/gaia/run_infer.py,evaluation/swe_bench/run_infer.py,22
evaluation/gaia/run_infer.py,evaluation/toolqa/run_infer.py,22
evaluation/logic_reasoning/run_infer.py,evaluation/swe_bench/run_infer.py,22
evaluation/toolqa/run_infer.py,evaluation/webarena/run_infer.py,22
README.md,docs/modules/usage/intro.mdx,22
agenthub/codeact_agent/codeact_agent.py,opendevin/controller/agent_controller.py,22
agenthub/codeact_agent/codeact_agent.py,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_001.log,22
tests/integration/mock/CodeActAgent/test_edits/prompt_001.log,tests/integration/mock/CodeActAgent/test_ipython/prompt_001.log,22
tests/integration/mock/CodeActAgent/test_edits/prompt_001.log,tests/integration/mock/CodeActAgent/test_ipython/prompt_002.log,22
tests/integration/mock/CodeActAgent/test_edits/prompt_002.log,tests/integration/mock/CodeActAgent/test_ipython/prompt_001.log,22
tests/integration/mock/CodeActAgent/test_edits/prompt_003.log,tests/integration/mock/CodeActAgent/test_ipython/prompt_001.log,22
containers/dev/compose.yml,openhands/runtime/impl/kubernetes/README.md,21
frontend/package-lock.json,openhands/runtime/impl/kubernetes/README.md,21
frontend/package.json,openhands/runtime/impl/kubernetes/README.md,21
frontend/src/hooks/query/use-settings.ts,frontend/src/types/settings.ts,21
frontend/src/mocks/handlers.ts,frontend/src/services/settings.ts,21
README.md,docs/usage/how-to/cli-mode.mdx,21
README.md,docs/usage/llms/local-llms.mdx,21
frontend/src/i18n/translation.json,frontend/src/services/settings.ts,21
docker-compose.yml,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,21
docker-compose.yml,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,21
docker-compose.yml,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,21
docker-compose.yml,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,21
docker-compose.yml,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,21
docker-compose.yml,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,21
docker-compose.yml,docs/modules/usage/how-to/cli-mode.md,21
docker-compose.yml,docs/modules/usage/how-to/headless-mode.md,21
docker-compose.yml,docs/modules/usage/installation.mdx,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,21
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/cli-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/how-to/headless-mode.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/installation.mdx,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,21
evaluation/biocoder/run_infer.py,evaluation/humanevalfix/run_infer.py,21
evaluation/biocoder/run_infer.py,evaluation/toolqa/run_infer.py,21
evaluation/bird/run_infer.py,evaluation/ml_bench/run_infer.py,21
evaluation/gpqa/run_infer.py,evaluation/ml_bench/run_infer.py,21
evaluation/humanevalfix/run_infer.py,evaluation/ml_bench/run_infer.py,21
evaluation/ml_bench/run_infer.py,evaluation/toolqa/run_infer.py,21
evaluation/swe_bench/run_infer.py,evaluation/toolqa/run_infer.py,21
evaluation/miniwob/run_infer.py,evaluation/swe_bench/run_infer.py,21
evaluation/EDA/run_infer.py,evaluation/mint/run_infer.py,21
evaluation/EDA/run_infer.py,evaluation/webarena/run_infer.py,21
evaluation/agent_bench/run_infer.py,evaluation/gpqa/run_infer.py,21
evaluation/agent_bench/run_infer.py,evaluation/logic_reasoning/run_infer.py,21
evaluation/bird/run_infer.py,evaluation/webarena/run_infer.py,21
evaluation/gaia/run_infer.py,evaluation/gpqa/run_infer.py,21
evaluation/gaia/run_infer.py,evaluation/webarena/run_infer.py,21
evaluation/gpqa/run_infer.py,evaluation/webarena/run_infer.py,21
evaluation/humanevalfix/run_infer.py,evaluation/webarena/run_infer.py,21
evaluation/logic_reasoning/run_infer.py,evaluation/webarena/run_infer.py,21
evaluation/miniwob/run_infer.py,evaluation/webarena/run_infer.py,21
agenthub/codeact_agent/codeact_agent.py,tests/integration/mock/CodeActAgent/test_write_simple_script/prompt_002.log,21
frontend/src/hooks/mutation/use-save-settings.ts,frontend/src/mocks/handlers.ts,20
frontend/src/hooks/mutation/use-save-settings.ts,frontend/src/services/settings.ts,20
frontend/src/mocks/handlers.ts,frontend/src/types/settings.ts,20
README.md,docs/usage/how-to/headless-mode.mdx,20
docs/usage/how-to/cli-mode.mdx,docs/usage/llms/local-llms.mdx,20
docs/usage/how-to/cli-mode.mdx,docs/usage/local-setup.mdx,20
docs/usage/how-to/headless-mode.mdx,docs/usage/llms/local-llms.mdx,20
README_CN.md,docs/usage/llms/local-llms.mdx,20
openhands/utils/prompt.py,tests/unit/test_prompt_manager.py,20
openhands/core/cli.py,openhands/core/main.py,20
README.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,20
README.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,20
evaluation/biocoder/run_infer.py,evaluation/gpqa/run_infer.py,20
evaluation/biocoder/run_infer.py,evaluation/mint/run_infer.py,20
evaluation/biocoder/run_infer.py,evaluation/ml_bench/run_infer.py,20
evaluation/bird/run_infer.py,evaluation/gorilla/run_infer.py,20
evaluation/gorilla/run_infer.py,evaluation/humanevalfix/run_infer.py,20
evaluation/gpqa/run_infer.py,evaluation/swe_bench/run_infer.py,20
evaluation/mint/run_infer.py,evaluation/ml_bench/run_infer.py,20
evaluation/mint/run_infer.py,evaluation/toolqa/run_infer.py,20
evaluation/ml_bench/run_infer.py,evaluation/swe_bench/run_infer.py,20
evaluation/EDA/run_infer.py,evaluation/biocoder/run_infer.py,20
evaluation/agent_bench/run_infer.py,evaluation/miniwob/run_infer.py,20
evaluation/agent_bench/run_infer.py,evaluation/mint/run_infer.py,20
evaluation/agent_bench/run_infer.py,evaluation/ml_bench/run_infer.py,20
evaluation/biocoder/run_infer.py,evaluation/gaia/run_infer.py,20
evaluation/biocoder/run_infer.py,evaluation/logic_reasoning/run_infer.py,20
evaluation/logic_reasoning/run_infer.py,evaluation/ml_bench/run_infer.py,20
evaluation/logic_reasoning/run_infer.py,evaluation/toolqa/run_infer.py,20
evaluation/miniwob/run_infer.py,evaluation/toolqa/run_infer.py,20
evaluation/mint/run_infer.py,evaluation/webarena/run_infer.py,20
evaluation/ml_bench/run_infer.py,evaluation/webarena/run_infer.py,20
tests/integration/regenerate.sh,tests/integration/test_agent.py,20
opendevin/controller/agent_controller.py,opendevin/core/main.py,20
agenthub/monologue_agent/agent.py,agenthub/monologue_agent/utils/prompts.py,20
frontend/src/i18n/declaration.ts,frontend/src/types/settings.ts,19
frontend/src/i18n/translation.json,frontend/src/types/settings.ts,19
frontend/src/hooks/mutation/use-save-settings.ts,frontend/src/types/settings.ts,19
README.md,openhands/runtime/impl/kubernetes/README.md,19
README.md,docs/usage/local-setup.mdx,19
docker-compose.yml,docs/usage/how-to/cli-mode.mdx,19
docker-compose.yml,docs/usage/how-to/headless-mode.mdx,19
docker-compose.yml,docs/usage/llms/local-llms.mdx,19
docs/usage/how-to/cli-mode.mdx,pyproject.toml,19
docs/usage/how-to/headless-mode.mdx,docs/usage/local-setup.mdx,19
README_CN.md,docker-compose.yml,19
frontend/src/api/open-hands.ts,frontend/src/mocks/handlers.ts,19
openhands/core/main.py,openhands/server/session/agent_session.py,19
openhands/server/conversation_manager/standalone_conversation_manager.py,openhands/server/routes/manage_conversations.py,19
openhands/server/routes/settings.py,openhands/server/settings.py,19
Development.md,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,19
Development.md,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,19
containers/dev/compose.yml,docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,19
containers/dev/compose.yml,docs/i18n/zh-Hans/docusaurus-plugin-content-docs/current/usage/runtimes.md,19
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,docs/modules/usage/how-to/cli-mode.md,19
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,docs/modules/usage/how-to/headless-mode.md,19
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,docs/modules/usage/installation.mdx,19
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,frontend/package-lock.json,19
docs/i18n/fr/docusaurus-plugin-content-docs/current/usage/runtimes.md,frontend/package.json,19
