file_id,path,commits,coupled_count,top_coupling,top_coupled_file
449,"frontend/src/hooks/use-handle-ws-events.ts",2,0,0.0000,""
450,"openhands/integrations/gitlab/gitlab_service.py",2,0,0.0000,""
470,"openhands/runtime/utils/runtime_templates/Dockerfile.j2",2,0,0.0000,""
486,"openhands/microagent/__init__.py",2,0,0.0000,""
487,"openhands/microagent/microagent.py",2,0,0.0000,""
488,"openhands/microagent/types.py",2,0,0.0000,""
509,"config.template.toml",2,0,0.0000,""
515,"evaluation/benchmarks/commit0/run_infer.py",2,0,0.0000,""
520,"openhands/agenthub/codeact_agent/codeact_agent.py",2,0,0.0000,""
522,"openhands/core/config/agent_config.py",2,0,0.0000,""
541,"frontend/src/routes/root-layout.tsx",2,0,0.0000,""
543,"frontend/src/routes.ts",2,0,0.0000,""
559,"frontend/src/components/features/sidebar/sidebar.tsx",2,0,0.0000,""
567,"openhands/server/app.py",2,0,0.0000,""
587,"openhands/runtime/impl/action_execution/action_execution_client.py",2,0,0.0000,""
588,"openhands/server/session/conversation_init_data.py",2,0,0.0000,""
624,"frontend/src/icons/code.svg",2,0,0.0000,""
